         18571687 function calls (17837496 primitive calls) in 21.574 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    17400    0.022    0.000    0.480    0.000 /home/codespace/.local/lib/python3.10/site-packages/torch/_tensor.py:212(__reduce_ex__)
      480    0.003    0.000    0.477    0.001 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:1576(_copy_tick_props)
      820    0.005    0.000    0.473    0.001 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:944(set_tick_params)
     1560    0.008    0.000    0.471    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/lines.py:1336(update_from)
     3020    0.012    0.000    0.463    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/text.py:104(__init__)
    14891    0.017    0.000    0.459    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/pyRDDLGym/Core/Simulator/RDDLSimulator.py:736(_sample_random)
    64398    0.077    0.000    0.455    0.000 /home/codespace/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2322(any)
     2760    0.032    0.000    0.449    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:2514(get_tick_space)
    69600    0.443    0.000    0.443    0.000 {built-in method torch.roll}
    17400    0.088    0.000    0.442    0.000 {method 'dump' of '_pickle.Pickler' objects}
     1200    0.014    0.000    0.437    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/offsetbox.py:794(get_bbox)
    14781    0.065    0.000    0.434    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/pyRDDLGym/Core/Simulator/RDDLSimulator.py:823(_sample_bernoulli)
    10520    0.031    0.000    0.424    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/text.py:65(_get_text_metrics_with_cache)
      480    0.023    0.000    0.423    0.001 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:924(reset_ticks)
    17400    0.191    0.000    0.418    0.000 /home/codespace/.local/lib/python3.10/site-packages/torch/_tensor.py:247(_reduce_ex_internal)
      240    0.001    0.000    0.407    0.002 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:3157(grid)
     5739    0.032    0.000    0.406    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/gym/spaces/dict.py:162(sample)
      480    0.002    0.000    0.406    0.001 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:1658(grid)
     4440    0.013    0.000    0.404    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/ticker.py:213(format_ticks)
     6000    0.011    0.000    0.398    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/pyRDDLGym/Core/Simulator/RDDLSimulator.py:291(sample_reward)
      710    0.004    0.000    0.390    0.001 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:287(draw)
     5739    0.041    0.000    0.372    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/gym/spaces/dict.py:184(<listcomp>)
     2460    0.022    0.000    0.360    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/artist.py:772(set_clip_path)
   121800    0.178    0.000    0.354    0.000 /home/codespace/.local/lib/python3.10/site-packages/torch/serialization.py:637(persistent_id)
      300    0.001    0.000    0.348    0.001 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/artist.py:350(get_tightbbox)
    13610    0.049    0.000    0.343    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:836(<dictcomp>)
     2240    0.020    0.000    0.340    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:651(union)
    55489    0.067    0.000    0.332    0.000 /home/codespace/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2421(all)
    68868    0.071    0.000    0.331    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/gym/spaces/discrete.py:47(sample)
     3670    0.007    0.000    0.306    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/patches.py:259(get_transform)
   224483    0.270    0.000    0.304    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/pyRDDLGym/Core/Simulator/RDDLSimulator.py:164(_check_type)
     1660    0.006    0.000    0.303    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/ticker.py:699(set_locs)
     3500    0.026    0.000    0.297    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/text.py:157(_reset_visual_defaults)
   232382    0.137    0.000    0.295    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/__init__.py:741(__getitem__)
     3380    0.021    0.000    0.290    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1418(__sub__)
     1590    0.009    0.000    0.289    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:208(get_text_width_height_descent)
    21900    0.280    0.000    0.285    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:182(set_children)
    65991    0.025    0.000    0.285    0.000 {built-in method builtins.setattr}
     2430    0.032    0.000    0.284    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/lines.py:738(draw)
      840    0.002    0.000    0.280    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:237(set_clip_path)
    25590    0.076    0.000    0.276    0.000 /home/codespace/.python/current/lib/python3.10/copy.py:259(_reconstruct)
338350/284170    0.149    0.000    0.270    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/artist.py:317(stale)
      120    0.000    0.000    0.269    0.002 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/offsetbox.py:395(get_window_extent)
    77610    0.118    0.000    0.267    0.000 /home/codespace/.python/current/lib/python3.10/copy.py:66(copy)
